,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Confidence,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
0,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.4655129909515381,1.0,0.0,2.0,RC,2021_08_15
1,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.08245396614074707,1.0,1.0,3.0,RC,2021_08_15
2,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.6492936611175537,1.0,2.0,4.0,RC,2021_08_15
3,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.39977097511291504,1.0,3.0,5.0,RC,2021_08_15
4,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.23168706893920898,1.0,4.0,6.0,RC,2021_08_15
5,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.25048017501831055,1.0,5.0,7.0,RC,2021_08_15
6,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.24827909469604492,1.0,6.0,8.0,RC,2021_08_15
7,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.1831061840057373,1.0,7.0,9.0,RC,2021_08_15
8,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.1833789348602295,1.0,8.0,10.0,RC,2021_08_15
9,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor-incongruent,0.3826570510864258,1.0,10.0,12.0,RC,2021_08_15
10,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.23166608810424805,1.0,11.0,13.0,RC,2021_08_15
11,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer-incongruent,0.2162001132965088,1.0,0.0,15.0,RC,2021_08_15
12,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.2165970802307129,1.0,1.0,16.0,RC,2021_08_15
13,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.41573286056518555,1.0,3.0,18.0,RC,2021_08_15
14,1R,Low,5.0,5.0,0.0,4.0,0.0,Observer,0.24979305267333984,1.0,4.0,19.0,RC,2021_08_15
15,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.33193182945251465,1.0,7.0,22.0,RC,2021_08_15
16,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.16629791259765625,1.0,8.0,23.0,RC,2021_08_15
17,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.5679311752319336,1.0,9.0,24.0,RC,2021_08_15
18,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.2996218204498291,1.0,10.0,25.0,RC,2021_08_15
19,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.3991820812225342,1.0,0.0,33.0,RC,2021_08_15
20,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.3660542964935303,1.0,2.0,35.0,RC,2021_08_15
21,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.16593003273010254,1.0,3.0,36.0,RC,2021_08_15
22,1R,Low,5.0,5.0,0.0,4.0,1.0,Observer,0.28281402587890625,0.0,4.0,37.0,RC,2021_08_15
23,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer-incongruent,0.2159128189086914,1.0,0.0,41.0,RC,2021_08_15
24,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.28251099586486816,1.0,2.0,43.0,RC,2021_08_15
25,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.21515703201293945,1.0,3.0,44.0,RC,2021_08_15
26,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.2323169708251953,1.0,4.0,45.0,RC,2021_08_15
27,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.31554698944091797,1.0,5.0,46.0,RC,2021_08_15
28,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.0,1.0,6.0,47.0,RC,2021_08_15
29,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.31575608253479004,1.0,0.0,52.0,RC,2021_08_15
30,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.249467134475708,1.0,2.0,54.0,RC,2021_08_15
31,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.19941306114196777,1.0,3.0,55.0,RC,2021_08_15
32,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.333327054977417,1.0,4.0,56.0,RC,2021_08_15
33,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.29912281036376953,1.0,5.0,57.0,RC,2021_08_15
34,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.2651829719543457,1.0,6.0,58.0,RC,2021_08_15
35,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.11463665962219238,1.0,7.0,59.0,RC,2021_08_15
36,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.39926719665527344,1.0,8.0,60.0,RC,2021_08_15
37,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.38237690925598145,1.0,0.0,63.0,RC,2021_08_15
38,1R,High,12.0,12.0,0.0,4.0,0.0,Actor,0.46691298484802246,1.0,1.0,64.0,RC,2021_08_15
39,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.5485210418701172,1.0,2.0,65.0,RC,2021_08_15
40,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.5485439300537109,1.0,3.0,66.0,RC,2021_08_15
41,1R,Low,8.0,8.0,0.0,4.0,0.0,Observer,0.44931817054748535,1.0,4.0,67.0,RC,2021_08_15
42,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.2001972198486328,1.0,5.0,68.0,RC,2021_08_15
43,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,1.1494362354278564,1.0,6.0,69.0,RC,2021_08_15
44,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.4325129985809326,1.0,7.0,70.0,RC,2021_08_15
45,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.46552300453186035,1.0,8.0,71.0,RC,2021_08_15
46,1R,Med,10.0,10.0,0.0,4.0,0.0,Observer,0.1659090518951416,1.0,9.0,72.0,RC,2021_08_15
47,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.34827399253845215,1.0,11.0,74.0,RC,2021_08_15
48,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer-incongruent,0.3324289321899414,1.0,0.0,76.0,RC,2021_08_15
49,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.3983778953552246,1.0,1.0,77.0,RC,2021_08_15
50,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.41571998596191406,1.0,3.0,79.0,RC,2021_08_15
51,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.1325371265411377,1.0,4.0,80.0,RC,2021_08_15
52,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.5156407356262207,1.0,5.0,81.0,RC,2021_08_15
53,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.36689019203186035,1.0,6.0,82.0,RC,2021_08_15
54,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.2650480270385742,1.0,8.0,84.0,RC,2021_08_15
55,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.3328728675842285,1.0,9.0,85.0,RC,2021_08_15
56,1R,High,12.0,12.0,0.0,4.0,0.0,Actor,0.3649148941040039,1.0,10.0,86.0,RC,2021_08_15
57,1R,Low,1.0,1.0,0.0,4.0,0.0,Observer,0.21526002883911133,1.0,11.0,87.0,RC,2021_08_15
58,1R,Low,3.0,3.0,0.0,4.0,1.0,Observer,0.21680688858032227,0.0,12.0,88.0,RC,2021_08_15
59,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.36508989334106445,1.0,0.0,91.0,RC,2021_08_15
60,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.28305983543395996,1.0,1.0,92.0,RC,2021_08_15
61,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer-incongruent,2.0325090885162354,1.0,5.0,96.0,RC,2021_08_15
62,1R,Low,8.0,8.0,0.0,4.0,0.0,Actor-incongruent,0.36763596534729004,1.0,8.0,99.0,RC,2021_08_15
63,1R,Low,2.0,2.0,0.0,4.0,1.0,Actor,0.31545209884643555,0.0,9.0,100.0,RC,2021_08_15
64,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.14858603477478027,1.0,0.0,103.0,RC,2021_08_15
65,1R,High,12.0,12.0,0.0,4.0,0.0,Observer,0.31589388847351074,1.0,1.0,104.0,RC,2021_08_15
66,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.2809319496154785,1.0,5.0,108.0,RC,2021_08_15
67,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.048136234283447266,1.0,6.0,109.0,RC,2021_08_15
68,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,3.216019868850708,1.0,8.0,111.0,RC,2021_08_15
69,1R,Low,3.0,3.0,0.0,4.0,1.0,Actor,0.38242602348327637,0.0,9.0,112.0,RC,2021_08_15
70,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor-incongruent,0.38231706619262695,1.0,0.0,115.0,RC,2021_08_15
71,1R,Low,2.0,2.0,0.0,4.0,0.0,Actor,0.6332907676696777,1.0,3.0,118.0,RC,2021_08_15
72,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.5983879566192627,1.0,8.0,123.0,RC,2021_08_15
73,1R,Med,10.0,10.0,0.0,4.0,1.0,Actor,0.3983128070831299,0.0,9.0,124.0,RC,2021_08_15
74,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.33200502395629883,1.0,0.0,129.0,RC,2021_08_15
75,1R,Med,11.0,11.0,0.0,4.0,0.0,Actor,0.1156301498413086,1.0,1.0,130.0,RC,2021_08_15
76,1R,Low,7.0,7.0,0.0,4.0,0.0,Actor,0.34894800186157227,1.0,4.0,133.0,RC,2021_08_15
77,1R,High,13.0,13.0,0.0,4.0,0.0,Observer,0.36591100692749023,1.0,6.0,135.0,RC,2021_08_15
78,1R,Med,10.0,10.0,0.0,4.0,1.0,Observer,0.0,0.0,8.0,137.0,RC,2021_08_15
79,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.4167160987854004,1.0,0.0,140.0,RC,2021_08_15
80,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.0,1.0,1.0,141.0,RC,2021_08_15
81,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.38079380989074707,1.0,2.0,142.0,RC,2021_08_15
82,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.5162689685821533,1.0,4.0,144.0,RC,2021_08_15
83,1R,Low,4.0,4.0,0.0,4.0,0.0,Observer,0.0173032283782959,1.0,5.0,145.0,RC,2021_08_15
84,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.14946818351745605,1.0,0.0,152.0,RC,2021_08_15
85,1R,Low,6.0,6.0,0.0,4.0,0.0,Observer,0.04901289939880371,1.0,1.0,153.0,RC,2021_08_15
86,1R,Low,3.0,3.0,0.0,4.0,0.0,Observer,0.3491382598876953,1.0,3.0,155.0,RC,2021_08_15
87,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.0,1.0,5.0,157.0,RC,2021_08_15
88,1R,Med,10.0,10.0,0.0,4.0,0.0,Actor,0.24823498725891113,1.0,7.0,159.0,RC,2021_08_15
89,1R,Low,4.0,4.0,0.0,4.0,0.0,Actor,0.4159097671508789,1.0,8.0,160.0,RC,2021_08_15
90,1R,Low,3.0,3.0,0.0,4.0,0.0,Actor,0.2485668659210205,1.0,10.0,162.0,RC,2021_08_15
91,1R,Low,2.0,2.0,0.0,4.0,0.0,Observer,0.314777135848999,1.0,11.0,163.0,RC,2021_08_15
92,1R,Low,1.0,1.0,0.0,4.0,0.0,Actor,0.315263032913208,1.0,12.0,164.0,RC,2021_08_15
93,1R,Low,6.0,6.0,0.0,4.0,1.0,Actor,0.3504209518432617,0.0,13.0,165.0,RC,2021_08_15
94,1R,Low,5.0,5.0,0.0,4.0,0.0,Actor,0.4157700538635254,1.0,0.0,168.0,RC,2021_08_15
95,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,2.0826408863067627,1.0,1.0,169.0,RC,2021_08_15
96,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.5481250286102295,1.0,2.0,170.0,RC,2021_08_15
97,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,1.9818639755249023,1.0,3.0,171.0,RC,2021_08_15
98,1R,Low,8.0,8.0,1.0,1.0,0.0,Observer-incongruent,7.417704105377197,0.0,6.0,174.0,RC,2021_08_15
99,1R,Low,7.0,7.0,0.0,4.0,0.0,Observer,0.09884786605834961,1.0,0.0,179.0,RC,2021_08_15
100,1R,Med,9.0,9.0,0.0,4.0,0.0,Observer,0.28134918212890625,1.0,1.0,180.0,RC,2021_08_15
101,1R,Med,9.0,9.0,0.0,4.0,0.0,Actor,0.6988499164581299,1.0,2.0,181.0,RC,2021_08_15
102,1R,Low,6.0,6.0,0.0,4.0,0.0,Actor,3.232898712158203,1.0,3.0,182.0,RC,2021_08_15
